POST_TEXT,IMAGE,SOCIAL_COUNT,SOCIAL_COMMENTS
"“It’s not about what stories are perfect, it’s about what stories I have to tell.”

Discussing what stories are worth sharing on LinkedIn, in an interview with Joseph Lanzillotta.

What do you think about this?

#ShreyaWrites

For full interview, click the link in the comment section!

#content #writer #contentwriter
…see more",https://media-exp1.licdn.com/dms/image/C4D03AQGueO3t04C4MA/profile-displayphoto-shrink_100_100/0/1657262204521?e=1672876800&v=beta&t=G13e_UwWnGFsVcdGHkYudWPTW71LYjKxA7rRXahfoIM,270,19 comments
"What was your first LinkedIn post about?

What do you write about now?

My first post was about meeting the CEO of LinkedIn. Now, I continue to share my content writing (& personal) journey!

#ShreyaWrites

P.S. A journey of a thousand miles begins with a single step.

~ Lao Tzu

#content #writer #contentwriter
…see more",https://media-exp1.licdn.com/dms/image/C4D03AQGueO3t04C4MA/profile-displayphoto-shrink_100_100/0/1657262204521?e=1672876800&v=beta&t=G13e_UwWnGFsVcdGHkYudWPTW71LYjKxA7rRXahfoIM,343,43 comments
"Content writing is a team sport.

Your client and you are in the same team.

And the prize is winning the best content.

So, involve your client in the writing process.

Yes, you have been hired to write for your client.

But your client knows their brand and requirements the best.

More importantly, your client knows what they want their content to achieve.

Not sure what to write?
Contact your client.

Brief is unclear?
Contact your client.

Confused about the content’s purpose?
Contact your client.

Ask for more information.
Ask for references.
Ask for their input.
Ask for clarifications.
Ask for cooperation.

Content writing is a collaborative process.

Always, always, always involve the client in your process.

Get your client to invest beyond money.

Will you give this a shot?

#ShreyaWrites

P.S. Collaboration equals innovation.

~ Michael Dell

#content #writer #contentwriter
…see more",https://media-exp1.licdn.com/dms/image/C4D03AQGueO3t04C4MA/profile-displayphoto-shrink_100_100/0/1657262204521?e=1672876800&v=beta&t=G13e_UwWnGFsVcdGHkYudWPTW71LYjKxA7rRXahfoIM,587,91 comments
"Vinayak Ganiger from Hevlet turned my post into this surreal graphic design.

Isn't it amazing?

#ShreyaWrites

P.S. DM me if you'd like to design a guest post!

#content #writer #contentwriter
…see more",https://media-exp1.licdn.com/dms/image/C4D03AQGueO3t04C4MA/profile-displayphoto-shrink_100_100/0/1657262204521?e=1672876800&v=beta&t=G13e_UwWnGFsVcdGHkYudWPTW71LYjKxA7rRXahfoIM,409,61 comments
"Cross-promotion is the key to digital expansion & growth.

Promote your blog, website and social media platforms on other blogs, websites and social media platforms.

Are you cross-promoting?

#ShreyaWrites

P.S. Without promotion, something terrible happens... nothing!

~ P. T. Barnum

#content #writer #contentwriter

Have questions about cross-promotion? Comment!
…see more",https://media-exp1.licdn.com/dms/image/C4D03AQGueO3t04C4MA/profile-displayphoto-shrink_100_100/0/1657262204521?e=1672876800&v=beta&t=G13e_UwWnGFsVcdGHkYudWPTW71LYjKxA7rRXahfoIM,235,66 comments
"In many ways, it's been my lucky 2 years...

I won €2500 funding for my startup at the Dragons’ Den,

Won the Trinity Employability Award, and an internship with KPMG,

Won “Best Presenter” at the Blue Sky Hackathon with Dublin Airport,

Spoke to Leo Varadkar, the Prime Minister of Ireland,

Met Jeff Weiner, the CEO of LinkedIn,

Hacked homelessness in 36 hours at the Provost’s Innovation Challenge,

Became the Public Relations Officer for the largest entrepreneurial society in Europe, TES,

Became the LinkedIn Campus Editor,

Attended multiple events, networked with multiple people...

All this (and much more) would not be possible without Trinity College Dublin.

In the last 2 years, Trinity has given me many, many amazing opportunities.

And now, I am really excited for my first interview with Tangent, Trinity’s Ideas Workspace!

Thanks to Joseph Lanzillotta for inviting me, I look forward to the interview!

Will you watch the interview?

[Link to YouTube Live in the comments]

#ShreyaWrites

P.S. We are all a great deal luckier than we realise, we usually get what we want – or near enough.

~ Roald Dahl

#content #writer #contentwriter
…see more",https://media-exp1.licdn.com/dms/image/C4D03AQGueO3t04C4MA/profile-displayphoto-shrink_100_100/0/1657262204521?e=1672876800&v=beta&t=G13e_UwWnGFsVcdGHkYudWPTW71LYjKxA7rRXahfoIM,852,140 comments
"Last week, I was working on an ad copy.

Spent hours working on the one-liner ad.

Wrote down variations of the same copy.

Kept working on it over and over and over.

Finally decided to send the document to the client.

And right before sending it,

In the last minute,

I thought of a new, very simple copy and added it.

Sent the document…

And the client instantly selected the last-minute copy I wrote.

It is now their campaign slogan!

Sometimes, it takes hours to create something magical in one minute!

Has this ever happened to you?

#ShreyaWrites

P.S. Surprising results are possible. Concentration is a decisive factor.

~ Carlo Ancelotti

#content #writer #contentwriter
…see more",https://media-exp1.licdn.com/dms/image/C4D03AQGueO3t04C4MA/profile-displayphoto-shrink_100_100/0/1657262204521?e=1672876800&v=beta&t=G13e_UwWnGFsVcdGHkYudWPTW71LYjKxA7rRXahfoIM,970,112 comments
"Does anyone else put on deo/ perfume while getting ready for a VIDEO call? The fragrance seems to have a refreshing effect!

#ShreyaWrites

#content #writer #contentwriter
…see more",https://media-exp1.licdn.com/dms/image/C4D03AQGueO3t04C4MA/profile-displayphoto-shrink_100_100/0/1657262204521?e=1672876800&v=beta&t=G13e_UwWnGFsVcdGHkYudWPTW71LYjKxA7rRXahfoIM,332,46 comments
"I lost my summer internship.

And I am not the only one to lose an internship, placement or job opportunity.

If you have lost your work offer due to Covid-19, you can still make the most of the opportunity.

Send this email to the employer.
Here’s a template:

Hi [name],

I hope you are well.

I request you to provide me with a letter indicating that [company name] had offered me an internship, but it was cancelled due to the Covid-19.

The letter would be immensely helpful for references & recommendations for future opportunities.

Thank you very much.

Take care,
[Your name]

———————
Comment “YES” if you’ll be sending out this email.

#ShreyaWrites

P.S. Documentation is a love letter that you write to your future self.

~ Damian Conway

#content #writer #contentwriter
…see more",https://media-exp1.licdn.com/dms/image/C4D03AQGueO3t04C4MA/profile-displayphoto-shrink_100_100/0/1657262204521?e=1672876800&v=beta&t=G13e_UwWnGFsVcdGHkYudWPTW71LYjKxA7rRXahfoIM,"1,496",72 comments
"""Shreya, what will a Philosophy degree get you?""

For a start... real-life business learnings and a LinkedIn post! ;)

#ShreyaWrites

This amazing guest post is designed by Himanshu Rawat!

#content #writer #contentwriter #graphicdesign

P.S. If you'd like to design a guest post, DM me. I'd be happy to support your work :)
…see more",https://media-exp1.licdn.com/dms/image/C4D03AQGueO3t04C4MA/profile-displayphoto-shrink_100_100/0/1657262204521?e=1672876800&v=beta&t=G13e_UwWnGFsVcdGHkYudWPTW71LYjKxA7rRXahfoIM,259,35 comments
"Writing is like cycling.

You can’t learn cycling by reading about it.

The number of hours you spend reading about cycling is irrelevant...

Until you START cycling.

You fall down,
You scrape your elbows & knees,
You get hurt...

But if you keep at it, eventually, you will learn to balance well.

That’s how you learn cycling... and writing.

Writing can be improved only by writing.

Yes, the fundamentals like grammar & vocabulary may be learnt through reading.

But if you want to improve writing, practice it.

For every hour of reading, spend at least 10 hours writing.

If you need inspiration, read for 15-20 minutes and then start writing.

Eventually you won’t need an external inspiration to write.

Of course, reading for learning, academics and enjoyment have a different context.

But if you want to improve a skill, be consistent in DOING and practising, rather than just reading.

#ShreyaWrites

P.S. Knowledge is the beginning of practice; doing is the completion of knowing.

~ Wang Yangming

#content #writer #contentwriter
…see more",https://media-exp1.licdn.com/dms/image/C4D03AQGueO3t04C4MA/profile-displayphoto-shrink_100_100/0/1657262204521?e=1672876800&v=beta&t=G13e_UwWnGFsVcdGHkYudWPTW71LYjKxA7rRXahfoIM,581,51 comments
"What’s the best thing that happened to you in April?

For me it was having many college & work assignments, yet having time to rest well. It was a perfect harmony of work and me-time!

#ShreyaWrites

P.S. Think about every good thing in your life right now. Free yourself of worrying. Let go of the anxiety, breathe. Stay positive, all is well.

~ Germany Kent

#content #writer #contentwriter
…see more",https://media-exp1.licdn.com/dms/image/C4D03AQGueO3t04C4MA/profile-displayphoto-shrink_100_100/0/1657262204521?e=1672876800&v=beta&t=G13e_UwWnGFsVcdGHkYudWPTW71LYjKxA7rRXahfoIM,239,39 comments
"I have NEVER talked about this...

How does customer data help in content creation?

I will talk about it, soon.

This Saturday, I will be discussing customer data & content with Opeyemi Adesina and Tomori Uriel.

I will be sharing:

1. What is customer data

2. How to use customer data for creating content

3. How to create effective content.

Interested? Click on the link in the comments and register for the webinar.

2nd May, 🇮🇪4:00pm 🇮🇳8:30pm

Few spots left!

Have you ever used customer data to create content?

#ShreyaWrites

P.S. Data are just summaries of thousands of stories – tell a few of those stories to help make the data meaningful.

~ Chip & Dan Heath

#content #writer #contentwriter
…see more",https://media-exp1.licdn.com/dms/image/C4D03AQGueO3t04C4MA/profile-displayphoto-shrink_100_100/0/1657262204521?e=1672876800&v=beta&t=G13e_UwWnGFsVcdGHkYudWPTW71LYjKxA7rRXahfoIM,149,23 comments
"“Shreya, how do you deal with failure?”

The same way I deal with my success.

I call my parents.

I say, “This happened today...”

They say, “It’s okay, what’s next?”

They make me see all the other things waiting for me.

They make me realise there are still a million things worth chasing.

They make me want to get up and chase those things.

And that’s how I deal with failure and success... by having my parents help me accept it.

How do you deal with success/ failure?

#ShreyaWrites

P.S. Failures are nudges to strengthen your resolve.

~ My dad

#content #writer #contentwriter
…see more",https://media-exp1.licdn.com/dms/image/C4D03AQGueO3t04C4MA/profile-displayphoto-shrink_100_100/0/1657262204521?e=1672876800&v=beta&t=G13e_UwWnGFsVcdGHkYudWPTW71LYjKxA7rRXahfoIM,526,69 comments
"Speed is an underrated skill.

My typing speed has boosted my content creation speed.

Speed reading helps me in faster research.

Quickly navigating between different tabs has become effortless.

All this has resulted in getting more things done.

Yes, practice helps improve the skills.

But practice also helps:
- improve productivity,
- improve focus, and
- avoid distractions.

To master your skills, practice relentlessly.

Practice with intent and speed.

Are you building your speed?

#ShreyaWrites

P.S. Life is like a ten speed bicycle. Most of us have gears we never use.

~ Charles M. Schulz

#content #writer #contentwriter
…see more",https://media-exp1.licdn.com/dms/image/C4D03AQGueO3t04C4MA/profile-displayphoto-shrink_100_100/0/1657262204521?e=1672876800&v=beta&t=G13e_UwWnGFsVcdGHkYudWPTW71LYjKxA7rRXahfoIM,478,63 comments
"“Shreya, I‘ve written my LinkedIn posts exactly like you said, but my engagement isn’t improving. What should I do?”

Be consistent & patient!

#ShreyaWrites

P.S. Just keep going when it’s tough. Just keep going when it’s long.

~ Maxime Lagacé

#content #writer #contentwriter
…see more",https://media-exp1.licdn.com/dms/image/C4D03AQGueO3t04C4MA/profile-displayphoto-shrink_100_100/0/1657262204521?e=1672876800&v=beta&t=G13e_UwWnGFsVcdGHkYudWPTW71LYjKxA7rRXahfoIM,541,62 comments
"Many of my classmates struggle to identify gender on the basis of Indian names.

For no reason, their discomfort with names kept troubling me.

I spent hours wondering about this.

Finally, I found a solution.

And I shared my ""discovery"" with my friends.

I was relieved that my fun discovery solved a real problem!

What fun discoveries have you made?

#ShreyaWrites

P.S. My greatest discovery has been my love of boredom and to get fun out of it.

~ Julien Torma

#content #writer #contentwriter
…see more",https://media-exp1.licdn.com/dms/image/C4D03AQGueO3t04C4MA/profile-displayphoto-shrink_100_100/0/1657262204521?e=1672876800&v=beta&t=G13e_UwWnGFsVcdGHkYudWPTW71LYjKxA7rRXahfoIM,191,24 comments
"""What do copywriters do?"" Here's your answer!

Shoutout to Atul M. for turning my words into such an appealing design!

#ShreyaWrites

P.S. Make it simple. Make it memorable. Make it inviting to look at. Make it fun to read.

~ Leo Burnett

#content #writer #contentwriter

P.P.S. Should I host a live session with some short copywriting assignments and instant feedback? Comment your thoughts!
…see more",https://media-exp1.licdn.com/dms/image/C4D03AQGueO3t04C4MA/profile-displayphoto-shrink_100_100/0/1657262204521?e=1672876800&v=beta&t=G13e_UwWnGFsVcdGHkYudWPTW71LYjKxA7rRXahfoIM,496,100 comments
"1 LinkedIn post.

300,000+ post views
25,000+ profile views
4,800+ likes
800+ connection requests
80+ new Instagram followers
37 new prospects
21 deals under discussion
4 deals closed.

That’s the power of CONSISTENCY.

Consistency adds up to:
- More encouragement
- More (& improved) writing
- More luck
- More success.

That’s what it takes to change your life: taking action consistently.

What action have you taken consistently?

#ShreyaWrites

P.S. Results can only change when we change our consistent actions and make them habits.

~ Billy Cox

#content #writer #contentwriter
…see more",https://media-exp1.licdn.com/dms/image/C4D03AQGueO3t04C4MA/profile-displayphoto-shrink_100_100/0/1657262204521?e=1672876800&v=beta&t=G13e_UwWnGFsVcdGHkYudWPTW71LYjKxA7rRXahfoIM,698,125 comments
"I would not have hired myself.

I’ve been reading my old writings.

My flaws are so obvious that I can’t imagine I would have written them.

If I could go back in time,
I would only change one thing:

EDIT. A LOT.

Earlier, I would write everyday.

But I wouldn’t spend time polishing my work.

So my old writings lacked the
Intent,
Core idea,
Structure &
Shine.

Now, my writing is mainly editing, editing and more editing.

After all this, still more editing.

Yet I continue to be a student of writing, and a very keen learner.

Honestly, I would be disappointed if I like my current writings in 2023.

After all, stagnation is decay.

Growth is possible only when you keep building upon the present.

What do you think about your older work?

#ShreyaWrites

P.S. Without continual growth and progress, such words as improvement, achievement, and success have no meaning.

~ Benjamin Franklin

#content #writer #contentwriter
…see more",https://media-exp1.licdn.com/dms/image/C4D03AQGueO3t04C4MA/profile-displayphoto-shrink_100_100/0/1657262204521?e=1672876800&v=beta&t=G13e_UwWnGFsVcdGHkYudWPTW71LYjKxA7rRXahfoIM,545,47 comments
"Writing for a chocolate brand, and I’m so thankful that I have chocolates with me. The research is making me hungry ;)

#ShreyaWrites

What niche(s) are you working on right now?

#content #writer #contentwriter
…see more",https://media-exp1.licdn.com/dms/image/C4D03AQGueO3t04C4MA/profile-displayphoto-shrink_100_100/0/1657262204521?e=1672876800&v=beta&t=G13e_UwWnGFsVcdGHkYudWPTW71LYjKxA7rRXahfoIM,383,54 comments
"Why steal posts?

Why copy?

Why plagiarise?

Using “#copiedpost” is NOT giving credit.

Sharing the writer’s name AFTER the entire post is NOT giving credit.

Blocking the writer is NOT giving credit.

If you like a post so much,

1. Reshare the post
or
2. Tag the writer on the TOP of the post.

Copy-pasting may be just a post update for you...

For us writers, our posts are:
- What we are
- What we do
- What we live for
- What we want to be remembered for
- An inseparable part of us.

Stop stealing. Give credits.

How do you deal with people who steal your posts?

#ShreyaWrites

P.S. One can steal ideas but no one can steal execution or passion.

~ Tim Ferriss

#content #writer #contentwriter
…see more",https://media-exp1.licdn.com/dms/image/C4D03AQGueO3t04C4MA/profile-displayphoto-shrink_100_100/0/1657262204521?e=1672876800&v=beta&t=G13e_UwWnGFsVcdGHkYudWPTW71LYjKxA7rRXahfoIM,"1,528",186 comments
"A session over WhatsApp AUDIO notes?

Yes, I did that on 18th April!

I conducted a session for students of a Nigerian University— University of Lagos.

Isaac Melchizedek messaged me last week.

He asked me to conduct a webinar...

“Launching a Career as a 21st Century Writer”

He said, “We’ll do it over WhatsApp!”

I was intrigued.

I asked him about a video webinar, over a video conferencing app.

He said that many students face internet issues.

So, we did it on WhatsApp.

- I joined a group of 120+ students

- I sent many short audio notes

- I stayed in that group for 24 hours

- Students asked me questions in those 24 hours.

I’ve realised:

Nothing should stop you from doing the things you love. And I love conducting sessions.

And even a poor internet bandwidth cannot stop you from learning.

There’s always a way.

Find it.

#ShreyaWrites

P.S. There are no limits. There are only plateaus, and you must not stay there, you must go beyond them.

~ Bruce Lee

#content #writer #contentwriter
…see more",https://media-exp1.licdn.com/dms/image/C4D03AQGueO3t04C4MA/profile-displayphoto-shrink_100_100/0/1657262204521?e=1672876800&v=beta&t=G13e_UwWnGFsVcdGHkYudWPTW71LYjKxA7rRXahfoIM,501,90 comments
Shreya Pattar - live via Restream.io,https://media-exp1.licdn.com/dms/image/C4D03AQGueO3t04C4MA/profile-displayphoto-shrink_100_100/0/1657262204521?e=1672876800&v=beta&t=G13e_UwWnGFsVcdGHkYudWPTW71LYjKxA7rRXahfoIM,272,239 comments
"He made ₹24,00,000 (₹24 lacs) in 24 hrs!

Puneet Rao is a fitness coach.

He has 31,000 followers on Instagram.

He owns a gym.

During the lockdown, his gym has been shut.

So he conducted FREE live workout sessions on Instagram for 3 weeks.

3 days ago, he started a one-month long online workout program.

Fee: ₹2000 per person, per month

And in 24 hours,

1200 people registered!

And just like that...

BOOM!

₹24,00,000 in his bank account!

What did Puneet do right?

1. Understood & leveraged the business side of his passion for health & fitness

2. Built a community of like-minded people on Instagram

3. Conducted Live workout sessions for FREE; earned trust & credibility

4. Provided real & tangible value in the virtual world

5. Priced his training program perfectly & donated 10% of the earnings.

This “overnight success” took him 10 years of commitment to fitness & Instagram.

So... commit to what you’re good at, and HUGE results will come.

#ShreyaWrites

P.S. The works must be conceived with fire in the soul but executed with clinical coolness.

~ Joan Miro

#content #writer #contentwriter
…see more",https://media-exp1.licdn.com/dms/image/C4D03AQGueO3t04C4MA/profile-displayphoto-shrink_100_100/0/1657262204521?e=1672876800&v=beta&t=G13e_UwWnGFsVcdGHkYudWPTW71LYjKxA7rRXahfoIM,"4,924",304 comments
"Stop “commenting for reach.”

Here are 3 meaningful comments to ACTUALLY help people land a job:-

1. Wish them best:

Shreya, I wish you all the very best for your job search. I hope someone in my network can help you out with this.

2. Recommend them:

Shreya, I really liked the content you wrote for my website. The content was crisp & creative, and your work ethics were superb! With your skills and passion, I’m sure you’ll land a very good role. I highly recommend you, and wish you the very best!

3. Take action for them:

Shreya, I have shared your LinkedIn profile with a few employers. I hope this helps you land an opportunity very soon! Good luck!

Now go, help someone.

Change people’s lives with your words!

#ShreyaWrites

P.S. Kind words can be short and easy to speak, but their echoes are truly endless.

~ Mother Teresa

#content #writer #contentwriter
…see more",https://media-exp1.licdn.com/dms/image/C4D03AQGueO3t04C4MA/profile-displayphoto-shrink_100_100/0/1657262204521?e=1672876800&v=beta&t=G13e_UwWnGFsVcdGHkYudWPTW71LYjKxA7rRXahfoIM,780,81 comments
"I'm getting a LOT of DMs for help with content writing.

Although the questions are similar,
it is challenging to get back to each one of you.

So, I have decided to create something helpful:
a comprehensive Q&A guide for all writers!

Have a question for me? Comment below.

Please share specific, detailed questions...
So that you get clear, helpful answers.

Hope this helps out more writers each day!

#ShreyaWrites

#content #writer #contentwriter
…see more",https://media-exp1.licdn.com/dms/image/C4D03AQGueO3t04C4MA/profile-displayphoto-shrink_100_100/0/1657262204521?e=1672876800&v=beta&t=G13e_UwWnGFsVcdGHkYudWPTW71LYjKxA7rRXahfoIM,182,60 comments
"I recruit writers secretly.

That’s right.

I have been growing my team.

Slowly.
Steadily.
Secretly.

Many new writers message me for guidance.

I give them advice and help them out.

They thank me.

The conversation stops.

BUT...

The connection doesn’t stop.

I then follow their posts for a few weeks.

I check the content they are putting out.

I check whether they are improving.

I check whether they are following my advice.

I look for skill, growth & passion.

And I find that... in some people.

So I message them.

“Would you like to write for me?”

And they almost instantly say yes.

That’s how I recruit writers.

Lesson?

Put your best work forward.
You never know who’s watching. [Maybe I am!]

#ShreyaWrites

P.S. You fail only if you stop writing.

~ Ray Bradbury

#content #writer #contentwriter

Psst... don’t worry about experience. I do my best to support new writers. If you have the skill & passion you have a shot!
…see more",https://media-exp1.licdn.com/dms/image/C4D03AQGueO3t04C4MA/profile-displayphoto-shrink_100_100/0/1657262204521?e=1672876800&v=beta&t=G13e_UwWnGFsVcdGHkYudWPTW71LYjKxA7rRXahfoIM,"1,313",207 comments
"I thought the quarantine would be a vacation for me.

I thought I’d complete my college essays,

Have a lot of “free time”,

And not do much work.

But now,

It’s turning out to be my busiest time EVER.

The workflow is super good!

(So good that I am yet to begin my college esays... shh)

I’ve taken up a new role as well:

I’ve become a business consultant.

So many companies want to boost their social media marketing during this time.

So, I’m advising companies on where to spend their limited money.

After all,

Money is a very limited resource.

And sales via media presence NEEDS corresponding hard sale.

And now is the most important time to make the right decisions.

What’s your quarantine expectation vs reality?

#ShreyaWrites

P.S. Help others achieve their dreams, and you will achieve yours.

~ Les Brown

#content #writer #contentwriter

P.S. DM to book a content consulting call with me!
…see more",https://media-exp1.licdn.com/dms/image/C4D03AQGueO3t04C4MA/profile-displayphoto-shrink_100_100/0/1657262204521?e=1672876800&v=beta&t=G13e_UwWnGFsVcdGHkYudWPTW71LYjKxA7rRXahfoIM,248,25 comments
"48 minutes of a job update, and my inbox looks like THIS... 100s of wishes!

Thank you all so much for your kind wishes, I really appreciate it!

I’m so excited to have been elected the Public Relations Officer for TEDx Trinity College Dublin!

I look forward to making TEDx-TCD a larger community of students; one that has something amazing for speakers & listeners alike.

Thank you all once again!

Super grateful for each one of you ❤️

#ShreyaWrites

#content #writer #contentwriter
…see more",https://media-exp1.licdn.com/dms/image/C4D03AQGueO3t04C4MA/profile-displayphoto-shrink_100_100/0/1657262204521?e=1672876800&v=beta&t=G13e_UwWnGFsVcdGHkYudWPTW71LYjKxA7rRXahfoIM,873,109 comments
"Dear prospects,

We understand you need personalised samples to gauge the work of a writer.

But: don’t exploit writers by calling your work “samples.”

If you can’t match your budget to our work,
match our work to your budget.

Pay us what we deserve.

#ShreyaWrites

P.S. Do not use people for your purpose. They are not sand papers.

~ Sumaiya Tabasum

#content #writer #contentwriter
…see more",https://media-exp1.licdn.com/dms/image/C4D03AQGueO3t04C4MA/profile-displayphoto-shrink_100_100/0/1657262204521?e=1672876800&v=beta&t=G13e_UwWnGFsVcdGHkYudWPTW71LYjKxA7rRXahfoIM,453,32 comments
"When the lockdown began, so many things stopped and waved me goodbye. And now, everything is much better than it has ever been.

Lesson? Don’t stress over things; most of them are out of your control anyways. Just keep DOING... patiently.

How are you doing?

#ShreyaWrites

P.S. Patience is when you’re supposed to get mad, but you choose to understand.

~ Anonymous

#content #writer #contentwriter
…see more",https://media-exp1.licdn.com/dms/image/C4D03AQGueO3t04C4MA/profile-displayphoto-shrink_100_100/0/1657262204521?e=1672876800&v=beta&t=G13e_UwWnGFsVcdGHkYudWPTW71LYjKxA7rRXahfoIM,284,33 comments
Q&A,https://media-exp1.licdn.com/dms/image/C4D03AQGueO3t04C4MA/profile-displayphoto-shrink_100_100/0/1657262204521?e=1672876800&v=beta&t=G13e_UwWnGFsVcdGHkYudWPTW71LYjKxA7rRXahfoIM,147,120 comments
"1. Louis Vuitton is making hand sanitisers in its perfume factories.

2. New Balance, an athletic shoe brand, is now making masks.

3. Joe Wicks, a body coach, started live 30-minute P.E. classes for kids, on YouTube.

4. EVO Entertainment cinema is running a drive-in movie theatre in their parking lot.

5. Shake Shack, a modern burger stand, launched DIY Burger Kits with a free cooking tutorial.

6. Mobile Escape, an escape room company, started ‘Escape Mail’: escape-room style puzzles delivered in an envelope.

7. I, a content writer, have moved from written content to more LIVE webinars and sessions.

What’s your pivot strategy in the current times?

[Source: marketingexamples(dot)com]

#ShreyaWrites

P.S. Pivoting isn’t Plan B; it’s part of the process.

~ Jeff Goins

#content #writer #contentwriter
…see more",https://media-exp1.licdn.com/dms/image/C4D03AQGueO3t04C4MA/profile-displayphoto-shrink_100_100/0/1657262204521?e=1672876800&v=beta&t=G13e_UwWnGFsVcdGHkYudWPTW71LYjKxA7rRXahfoIM,335,13 comments
"LinkedIn & Instagram LIVE Q&A!

Sunday, 12th April

🇮🇪 2:30pm
🇮🇳 7:00pm

➡️ Comment your questions on this post

➡️ Tag someone who should watch the LIVE

➡️ Join the LIVE this Sunday!

Will you join??

#ShreyaWrites

Psst... the best question wins a prize! Winner to be announced during the LIVE.

#content #writer #contentwriter
…see more",https://media-exp1.licdn.com/dms/image/C4D03AQGueO3t04C4MA/profile-displayphoto-shrink_100_100/0/1657262204521?e=1672876800&v=beta&t=G13e_UwWnGFsVcdGHkYudWPTW71LYjKxA7rRXahfoIM,51,11 comments
"I have 7977 pictures on my phone.

Over the past few days, I’ve scrolled through every single one of them.

I‘ve found it very soothing and calming.

Just by looking at each picture, I could recall:

My thoughts when I took the picture...

The fragrance in the room...

How cold the weather was...

My favourite song at the time...

The feeling of being in a particular place...

The things that led up to that moment...

The after-the-click moments...

A picture brings out so many memories.

And this is such a beautiful time to relive those memories.

There is so much to be thankful for!

Try it: scroll through your images, and tell me what you recall.

Will you give it a shot?

#ShreyaWrites

P.S. A good life is a collection of happy memories.

~ Denie Waitley

#content #writer #contentwriter
…see more",https://media-exp1.licdn.com/dms/image/C4D03AQGueO3t04C4MA/profile-displayphoto-shrink_100_100/0/1657262204521?e=1672876800&v=beta&t=G13e_UwWnGFsVcdGHkYudWPTW71LYjKxA7rRXahfoIM,304,34 comments
"What’s the first thing you’ll do when you can step out again?

#ShreyaWrites

P.S. I’ll take a walk around Dublin... the weather has been lovely!

#content #writer #contentwriter
…see more",https://media-exp1.licdn.com/dms/image/C4D03AQGueO3t04C4MA/profile-displayphoto-shrink_100_100/0/1657262204521?e=1672876800&v=beta&t=G13e_UwWnGFsVcdGHkYudWPTW71LYjKxA7rRXahfoIM,234,76 comments
"Once, there lived a little boy.

He found a seed.

He planted it & dreamed of savouring the mangoes it would yield.

Days passed.
So did weeks, months, and years.

Then... a little ball, as crimson as the hue of the dawning sun, hung on the once-little-tree's branch.

The boy, not-so-little anymore, spotted this sphere from a few feet below.

He climbed the branches,
Met a few ants & cobwebs,
Caught hold of the fruit,
And huddled back down.

As soon as his feet touched the soft grass, he expected to see a mango in his hand.

It was an orange.

He was shattered. He was angry.

Instantly, he hated the tree.

He wanted to get rid of it so he wouldn't be reminded of his foolishness.

He lifted his axe and began chopping down the tree.

He kept thinking how the tree had deceived him.

He got angry & upset, and kept swinging his axe.

Then, it struck him:
The tree wasn't a mango tree at all.
It was an orange tree.

No amount of care or love could make an orange tree grow mangoes.

He let down the axe.

He brought some water, nurtured the tree again.

And finally, he learnt to savour the sweetness of an orange.

#ShreyaWrites

Lesson? Appreciate what it is, than dream of what it could have been.

#content #writer #contentwriter

©️Shreya Pattar, 2017
…see more",https://media-exp1.licdn.com/dms/image/C4D03AQGueO3t04C4MA/profile-displayphoto-shrink_100_100/0/1657262204521?e=1672876800&v=beta&t=G13e_UwWnGFsVcdGHkYudWPTW71LYjKxA7rRXahfoIM,223,16 comments
"What if all your content disappears???

I've been sharing content online for years.

I've posted on a dozen different platforms.

I've spent hours and hours creating original content.

I've spent even more time on getting myself known for that content.

And sometimes, all I can think is:

What if, one day, it's all gone?

After all... only the profiles belong to me, and not the platform.

And finally,
After all the thinking,
After all this time,

I have my own website!

Now,
I create content,
I share what I create,
I own what I share.

Check out my brand new website! Link in comments!

#ShreyaWrites

Shoutout to Amoga Web Labs for building my website! If you're looking for help with your website, I would recommend contacting them!

#contentwriter #writer #content

Psst... make sure you subscribe to my newsletter!
…see more",https://media-exp1.licdn.com/dms/image/C4D03AQGueO3t04C4MA/profile-displayphoto-shrink_100_100/0/1657262204521?e=1672876800&v=beta&t=G13e_UwWnGFsVcdGHkYudWPTW71LYjKxA7rRXahfoIM,171,36 comments
"People are losing their jobs.

Students are struggling with their graduation.

Migrants are walking 100s of kilometres to be home.

Doctors are saving strangers and video calling their kids.

Patients are spending days and weeks in hospitals, alone.

Families are mourning the loss of their loved ones.

Souls are leaving their bodies, with no one to hug one last time.

And us?

Look at us.

Whining about “getting bored” at home.

Crying over a slower internet.

Bothered by not having enough movies on Netflix.

Craving to hit the gym suddenly.

Needing that white-mermaid-cup latte.

Hoarding on toilet paper and soap.

Wanting the fresh air for our soul.

Stepping out on the 5th day, because “I’ve been in for 4 whole days!”

While we crib over how difficult our life is, there are people out there who only wish they could be home.

People who wish they could be safe.

People who wish they could hold their family. At least one last time.

And us?

We have what these people wish for.

Cherish it. Stay home.

#ShreyaWrites

P.S. We often take for granted the very things that most deserve our gratitude.

~ Cynthia Ozick

#content #writer #contentwriter
…see more",https://media-exp1.licdn.com/dms/image/C4D03AQGueO3t04C4MA/profile-displayphoto-shrink_100_100/0/1657262204521?e=1672876800&v=beta&t=G13e_UwWnGFsVcdGHkYudWPTW71LYjKxA7rRXahfoIM,"2,164",167 comments
